voxel_volume_2021,convex_hull_volume_2021,voxel_area_2021,Model_2021,Iteration_2021,point2tree_Volume_2021,point2tree_area_2021,graham_volume_2021,graham_Area_2021,lky_name,TotalBranches_2021,voxel_volume_2023,convex_hull_volume_2023,voxel_area_2023,Model_2023,Iteration_2023,point2tree_Volume_2023,point2tree_area_2023,graham_volume_2023,graham_Area_2023,TotalBranches_2023,convex_hull_area_2023,convex_hull_area_2021
0.159,0.209031015,0.26,tree_727,3400,0.102256173,0.218504738,0.125089639,0.183262811,蓝20_50_行12_1_000080,100,2.517,12.41390036,6.3,tree_766,3400,4.673704099,6.412407757,7.310642842,5.122783375,1336,7.294060077,0.20536247
0.043,0.033758196,0.18,tree_1042,3400,0.015072514,0.150948737,0.026478592,0.108724568,蓝20_50_行9_3_000381,100,0.477,1.330173473,1.75,tree_1098,3400,0.520466003,1.730353375,1.029645233,1.873895853,255,2.14545172,0.139738835
0.117,0.142904463,0.34,tree_393,3400,0.098168769,0.248489007,0.112952491,0.207563948,蓝20_50_行9_3_000041,100,1.277,5.404390222,3.6,tree_415,3400,1.78667147,3.344820331,2.759852625,2.468615965,806,4.155723611,0.25615664
0.28,0.435247469,0.47,tree_1170,3400,0.153692856,0.342834834,0.255322782,0.252689609,蓝20_50_行9_1_000044,217,3.601,17.27690891,7.6,tree_1234,3400,7.566808078,7.848315065,10.83901409,6.687663636,1995,8.657771874,0.36918532
0.075,0.0755977,0.27,tree_109,3400,0.024433206,0.179250452,0.065425315,0.182543971,蓝20_50_行5_2_000407,100,1.747,7.457478046,3.92,tree_116,3400,3.057467554,3.614606381,4.617229819,3.430806505,956,4.462217343,0.207249825
0.073,0.085675912,0.22,tree_442,3400,0.045395717,0.176677425,0.054067654,0.124946183,蓝20_50_行10_1_000368,100,1.722,6.688574224,3.79,tree_469,3400,2.997740974,3.525972482,4.429072936,3.284373313,836,3.919450278,0.162710705
0.1,0.106226014,0.34,tree_738,3400,0.046348197,0.271215917,0.090203699,0.220200412,蓝20_50_行9_3_000118,100,1.639,5.472936784,2.98,tree_777,3400,2.250288309,2.753880653,3.744912627,2.424192519,926,3.180022771,0.280465245
0.06,0.072644272,0.24,tree_396,3400,0.031802216,0.231774713,0.048939579,0.149857657,蓝20_50_行13_3_000267,100,0.401,0.959074841,1.3,tree_418,3400,0.215685871,0.974752159,0.652023282,1.016852355,269,1.364035218,0.20678326
0.254,0.501645098,0.63,tree_1259,3400,0.263048447,0.523289701,0.387764703,0.435328312,蓝20_50_行12_1_000435,191,2.792,11.83220752,5.73,tree_1324,3400,4.702556826,5.807670003,8.149696128,5.25646276,1530,6.727122971,0.55138751
0.111,0.140843045,0.44,tree_486,3400,0.074385815,0.335119563,0.111278788,0.319488423,蓝20_50_行9_1_000358,100,1.62,5.904952667,3.28,tree_514,3400,2.76506232,2.820082388,3.870452314,2.892424189,891,3.488398608,0.36690387
